"municipio_id_sus","periodo_data","estabelecimento_nome","equipe_nome","cadastro_quantidade","cadastro_criterio_pontuacao"
"355030","01/2022",AMA UBS J CAPELA,J CAPELA 5,3657,false
"355030","01/2022",AMA UBS J CAPELA,J CAPELA 4,3521,false
"355030","01/2022",UBS J ARACATI,J ARACATI 1,3305,false
"355030","01/2022",UBS IGUACU,"4214 - EQUIPE 4 VERDE",3121,false
"355030","01/2022",UBS HUMAITA,ESF HUMAITA 01 A VERDE,3839,false
"355030","01/2022",UBS HORIZONTE AZUL,HORIZONTE AZUL 3,3408,false
"355030","01/2022",UBS DOM JOAO NERY,FLOR DE MAIO II,2330,false
"355030","01/2022",UBS CAMPO LIMPO,CAMPO LIMPO - VERDE,3601,false
"355030","01/2022",UBS CAMPO LIMPO,CAMPO LIMPO - AZUL,3896,false
"355030","01/2022",UBS CAMBUCI,ESF CAMBUCI 3 AMARELA,3158,false
"355030","01/2022",UBS ARRASTAO FRANCISCO SCALAMANDRE SOBRINHO,ARRASTAO - 05 - AZUL,3327,false
"355030","01/2022",UBS JARDIM GUAIRACA,"4195 - AMARELA",3713,false
"355030","01/2022",UBS VERA CRUZ DR FERNANDO PROENCA DE GOUVEA,J VERA CRUZ 6,4385,false
"355030","01/2022",UBS VERA CRUZ DR FERNANDO PROENCA DE GOUVEA,J VERA CRUZ 4,4031,false
"355030","01/2022",UBS TEOTONIO VILELA,"4126 - EQUIPE 6 BRANCA",3643,false
"355030","01/2022",UBS RECANTO CAMPO BELO,RECANTO V,2412,false
"355030","01/2022",UBS MANOEL JOAQUIM PERA,EQUIPE 4,4241,false
"355030","01/2022",UBS J VITORIA,IPE II ROXO,3946,false
"355030","01/2022",AMA UBS INTEGRADA JARDIM TIETE I OSCAR PEREIRA DA SILVA,EQUIPE 1 - ROSA,4680,false
"355030","01/2022",AMA UBS INTEGRADA JARDIM TIETE I OSCAR PEREIRA DA SILVA,EQUIPE 4 - AMARELA,3632,false
"355030","01/2022",AMA UBS INTEGRADA CHACARA CRUZEIRO DO SUL ZELIA L M DORO,"4111 - EQUIPE 1",5140,false
"355030","01/2022",UBS REPUBLICA FERNANDA SANTE LIMEIRA,ESF REPUBLICA 01,3211,false
"355030","01/2022",UBS J FLOR DE MAIO,EQUIPE LUA UBS FLOR DE MAIO,1078,false
"355030","01/2022",UBS PEDRO DE SOUZA CAMPOS,EQUIPE 05,3225,false
"355030","01/2022",UBS JARDIM MITSUTANI,MITSUTANI - ROSA,2452,false
"355030","01/2022",UBS JARDIM BANDEIRANTES,EQUIPE 1 / BANDEIRANTES,4517,false
"355030","01/2022",AMA UBS PQ FIGUEIRA GRANDE,FIGUEIRA GRANDE 3,3016,false
"355030","01/2022",UBS VARGINHA,VARGINHA 05,2775,false
"355030","01/2022",UBS ERMELINO MATARAZZO,"01 VERDE",3726,false
"355030","01/2022",UBS VILA SANTA MARIA,"081-EQUIPE E",2878,false
"355030","01/2022",UBS JD ROMANO VILA ITAIM,EQUIPE 5,2734,false
"355030","01/2022",UBS JARDIM LIDIA,LIDIA - AMARELO,4183,false
"355030","01/2022",AMA UBS INTEGRADA ELISIO TEIXEIRA LEITE,PARADA EQ01 AZUL,3343,false
"355030","01/2022",UBS LARANJEIRAS,LARANJEIRAS 2,2848,false
"355030","01/2022",UBS PQ SAO RAFAEL DR ORA ROSEN,EQUIPE 1038,1297,false
"355030","01/2022",UBS PARAISOPOLIS III,PARAISOPOLIS III - ROSA,3392,false
"355030","01/2022",UBS JARDIM VALQUIRIA,VALQUIRIA 3 - AZUL,3779,false
"355030","01/2022",UBS VILA MARCELO,VILA MARCELO I,2113,false
"355030","01/2022",UBS JARDIM DAS FONTES,JARDIM DAS FONTES,2800,false
"355030","01/2022",UBS ATUALPA GIRAO RABELO,EQUIPE 3,3826,false
"355030","01/2022",UBS JARDIM MACEDONIA,MACEDONIA - AZUL,3595,false
"355030","01/2022",AMA UBS INTEGRADA CHACARA CRUZEIRO DO SUL ZELIA L M DORO,"4112 - EQUIPE 2",5178,false
"355030","01/2022",UBS BORACEA,ESF BORACEA 3,3910,false
"355030","01/2022",UBS JARDIM MACEDONIA,MACEDONIA - VERDE,3804,false
"355030","01/2022",UBS COLONIA,COLONIA II,2612,false
"355030","01/2022",UBS SE,ESF SE 03 - LILAS,3318,false
"355030","01/2022",UBS CIDADE IPAVA,IPAVA 2,4377,false
"355030","01/2022",UBS JARDIM MARACA,MARACA - LARANJA,3174,false
"355030","01/2022",UBS BRASILIA M BOI MIRIM,BRASILIA 6,4267,false
"355030","01/2022",UBS REUNIDAS I,"4201 - AREA AMARELA",3038,false
"355030","01/2022",UBS PASTORAL,"4222 - AZUL",3029,false
"355030","01/2022",UBS CARLOS GENTILE DE MELO,EQUIPE GENTILE 6,3940,false
"355030","01/2022",UBS PEDRO DE SOUZA CAMPOS,EQUIPE 02,3140,false
"355030","01/2022",UBS JARDIM SOUZA,J SOUZA 1,3789,false
"355030","01/2022",UBS JARDIM SOUZA,J SOUZA 3,3686,false
"355030","01/2022",UBS VILA CALU,VILA CALU 3,3736,false
"355030","01/2022",UBS NOVO CAMINHO,NOVO CAMINHO 5,3085,false
"355030","01/2022",UBS MORRO DOCE,MORRO DOCE - CALLIX,3618,false
"355030","01/2022",UBS JARDIM ORION GUANHEMBU,ORION V,3169,false
"355030","01/2022",UBS AUTODROMO DR FAUZER SIMAO ABRAO,VILA DA PAZ II,3143,false
"355030","01/2022",UBS AUTODROMO DR FAUZER SIMAO ABRAO,VILA DA PAZ I,3629,false
